Car_Brand,Car_Name,Year,Mileage_kmpl,Fuel_Type,Transmission,Engine_CC,Horsepower_HP,Battery_Capacity_kWh,Performance_Score,Total_Kilometres,Total_Seats,Car_Price_INR,Selling_Price
Maruti,WagonR,2020,25.54,Petrol,Manual,1100,113.2,0.0,7.3,5109,6,2846169,1919994
Mercedes,C-Class,2014,22.19,Hybrid,Automatic,2800,225.5,24.1,6.2,161876,6,2511026,863027
Toyota,Glanza,2019,28.77,Diesel,Manual,1800,155.2,0.0,7.2,65176,5,3636545,2342404
Hyundai,i10,2008,16.26,Petrol,Manual,3000,223.9,0.0,5.4,29780,6,2882281,576456
Honda,Amaze,2013,15.69,Petrol,Automatic,3400,270.2,0.0,6.4,107311,4,2218513,530574
MG,Astor,2018,13.92,Hybrid,Automatic,1500,138.1,70.7,9.5,90153,7,534408,259524
Mahindra,XUV700,2025,18.89,Diesel,Automatic,1700,165.1,0.0,5.1,136907,5,3426533,3426533
Nissan,Magnite,2009,27.99,Diesel,Manual,3900,282.3,0.0,7.8,166564,4,2111342,645740
Tata,Safari,2019,19.0,Petrol,Manual,1800,159.7,0.0,7.7,195744,7,2978407,1591444
Mahindra,Bolero,2016,15.84,Hybrid,Automatic,2500,212.8,30.3,8.4,90585,5,855388,554936
Nissan,Kicks,2021,24.53,CNG,Automatic,3100,261.9,0.0,7.6,9884,6,2253985,1618261
MG,Gloster,2000,25.77,Hybrid,Manual,1800,143.8,69.9,9.6,10651,4,2408414,481682
Ford,Aspire,2018,15.06,Diesel,Manual,1600,144.1,0.0,7.0,24987,5,1705962,1206394
Honda,Amaze,2003,15.48,Petrol,Manual,2200,184.5,0.0,8.0,142357,7,3305063,661012
Kia,Carens,2002,18.97,Diesel,Manual,3900,312.9,0.0,8.3,188856,4,3608174,721634
MG,Astor,2006,11.35,Petrol,Automatic,1600,163.9,0.0,9.0,159030,6,1568803,313760
Mercedes,A-Class,2018,23.48,Diesel,Automatic,4000,315.1,0.0,6.5,91244,7,1321115,899603
Hyundai,Venue,2004,29.89,Electric,Automatic,2800,225.2,33.4,5.8,55994,4,1395570,279114
Toyota,Yaris,2008,25.29,CNG,Manual,1400,124.1,0.0,8.2,5567,7,682194,136438
Skoda,Kushaq,2016,22.56,Petrol,Manual,800,79.2,0.0,6.5,127685,6,428260,288877
Tata,Nexon,2010,26.24,Hybrid,Automatic,3800,308.0,29.8,9.0,91130,4,2264272,452854
Toyota,Fortuner,2017,20.49,Petrol,Automatic,2100,169.8,0.0,8.6,137123,4,3040202,1361687
Renault,Duster,2017,12.49,Diesel,Manual,1700,138.1,0.0,7.0,133358,4,2236834,1569232
Nissan,Magnite,2009,28.73,Hybrid,Automatic,3000,231.0,34.4,6.4,112952,7,1059361,211872
Renault,Kwid,2009,27.69,Hybrid,Manual,3300,275.5,64.3,9.2,159721,6,2019042,572782
Kia,Seltos,2008,18.29,Petrol,Automatic,2400,203.6,0.0,5.7,178921,7,1735349,347069
Hyundai,Creta,2001,11.48,Petrol,Manual,3000,249.8,0.0,6.0,54839,5,1930547,386109
Nissan,Sunny,2022,25.29,Petrol,Automatic,2200,171.7,0.0,9.5,9744,5,2432751,2081383
Nissan,Kicks,2020,24.68,Hybrid,Manual,2300,183.7,46.2,6.4,11059,5,1730000,1439993
Ford,Figo,2006,19.38,CNG,Manual,2000,159.1,0.0,6.7,70712,5,1694183,338836
Skoda,Rapid,2018,27.22,CNG,Manual,2000,157.7,0.0,5.0,19228,5,2253323,1440664
Maruti,Swift,2019,14.61,Diesel,Automatic,1300,132.0,0.0,5.7,77193,7,2771882,1962672
Toyota,Yaris,2003,29.98,CNG,Automatic,2600,212.4,0.0,7.3,181380,4,3455909,691181
Honda,City,2024,17.97,Electric,Manual,900,92.1,39.7,5.0,167742,4,1604692,1547378
Nissan,Sunny,2014,16.85,Petrol,Manual,3500,285.4,0.0,8.8,190403,6,2208032,1355208
Tata,Nexon,2000,11.68,Petrol,Manual,4000,296.8,0.0,8.9,91298,5,2768774,553754
Honda,City,2005,16.14,Petrol,Automatic,3300,259.2,0.0,9.0,113900,6,3533809,706761
Ford,Figo,2019,27.44,Hybrid,Automatic,1200,137.3,69.5,5.5,70283,6,1849964,1124358
Nissan,Kicks,2019,15.2,CNG,Automatic,3700,274.8,0.0,5.7,56516,4,3550585,2720337
Tata,Tiago,2008,13.17,CNG,Automatic,3300,252.1,0.0,8.3,17422,4,527021,105404
Kia,Seltos,2021,28.62,Electric,Manual,3800,298.9,51.1,6.8,12180,5,2582224,1922743
Kia,Carens,2000,18.46,Petrol,Automatic,1900,155.9,0.0,6.5,56696,6,1976970,395394
Toyota,Glanza,2017,29.73,Petrol,Automatic,1900,179.7,0.0,5.1,25826,4,3686666,1483727
BMW,3 Series,2001,20.17,Electric,Manual,2700,212.9,45.1,8.3,67169,7,3883769,1084679
Tata,Harrier,2017,23.2,Electric,Automatic,2100,163.7,36.3,7.9,154817,4,2775592,1451090
MG,Hector,2009,11.13,CNG,Automatic,3300,278.8,0.0,7.4,42253,4,3607256,721451
Honda,City,2010,14.85,Hybrid,Automatic,2500,221.0,50.4,9.6,166212,6,3459827,940997
Skoda,Slavia,2003,25.32,Electric,Automatic,3900,287.8,77.4,7.9,107255,6,1330420,266084
Renault,Triber,2001,20.87,CNG,Automatic,1600,150.9,0.0,5.2,68549,4,2750867,550173
MG,Astor,2000,11.83,Electric,Automatic,900,100.4,26.9,9.9,100235,7,1999567,399913
Honda,City,2005,26.26,Electric,Manual,3200,245.5,66.2,5.4,156039,4,3882107,1290972
Ford,Ecosport,2022,15.88,Diesel,Manual,3400,282.9,0.0,7.4,185251,4,3249399,2480357
Tata,Nexon,2021,19.92,Petrol,Manual,2500,200.2,0.0,8.3,48016,7,1093384,941149
Tata,Harrier,2023,21.2,Hybrid,Manual,1400,138.3,46.1,8.5,166402,4,1765009,1484155
Kia,Carens,2010,20.07,Electric,Manual,2500,204.2,33.3,7.2,193583,6,3660754,1300923
Tata,Nexon,2023,22.74,Hybrid,Automatic,3200,237.3,54.1,8.6,46574,6,3654947,3147940
Kia,Seltos,2000,17.96,CNG,Manual,3900,287.2,0.0,9.1,121465,5,1859961,420313
Ford,Aspire,2017,16.79,Electric,Manual,1100,132.9,26.1,7.3,18031,4,2138356,917819
Mercedes,GLA,2018,12.1,CNG,Automatic,3800,281.6,0.0,5.3,134231,5,1625588,868602
Honda,WRV,2001,18.69,Petrol,Automatic,4000,295.2,0.0,9.4,186873,7,2126953,425390
Nissan,Kicks,2006,28.82,Hybrid,Manual,3100,249.6,72.4,5.5,27466,7,2969976,593995
MG,Gloster,2006,10.96,Petrol,Automatic,1900,180.5,0.0,6.9,158374,6,948410,189682
Tata,Altroz,2000,26.23,Diesel,Automatic,1700,158.3,0.0,7.3,197566,4,2262998,452599
Tata,Tiago,2014,12.36,Electric,Automatic,800,88.4,75.0,9.9,112220,6,3916807,2384338
Kia,Seltos,2025,24.16,Petrol,Automatic,2900,227.9,0.0,8.6,168358,6,2470441,2470441
Maruti,Baleno,2006,27.02,Petrol,Manual,2700,207.4,0.0,9.2,29401,7,1834310,366862
Ford,Figo,2015,13.48,Diesel,Automatic,2100,198.5,0.0,5.1,41440,7,3943601,1431103
Renault,Triber,2008,26.28,Petrol,Manual,2500,210.2,0.0,7.0,162291,5,3707501,741500
Maruti,WagonR,2008,18.98,Electric,Manual,3400,247.2,73.7,8.0,6089,4,2979443,595888
Mahindra,XUV700,2019,11.26,Hybrid,Automatic,1000,117.8,38.8,7.3,101360,6,2343046,1536341
Ford,Figo,2002,13.39,CNG,Manual,2300,188.4,0.0,8.2,107779,7,653207,130641
Tata,Safari,2005,26.87,Electric,Automatic,4000,313.1,66.3,9.3,43746,5,605873,121174
MG,Hector,2008,24.19,CNG,Automatic,1700,140.6,0.0,8.5,5437,5,1765592,527749
Mercedes,C-Class,2006,14.4,Hybrid,Manual,3700,296.1,56.9,7.9,194588,4,1199616,239923
Skoda,Kushaq,2022,26.04,Electric,Automatic,1600,130.3,57.9,6.4,34928,7,3409810,2728666
MG,Astor,2019,22.99,CNG,Manual,3300,270.8,0.0,9.0,175380,6,1125389,912983
Mahindra,Thar,2005,29.67,CNG,Manual,3400,263.6,0.0,5.8,173376,5,2958991,629995
Kia,Seltos,2001,22.98,Electric,Manual,1300,145.4,45.4,6.5,189673,6,853986,170797
Nissan,Magnite,2001,15.79,Hybrid,Automatic,2300,180.1,67.6,9.0,16916,6,2290234,458046
Toyota,Innova,2013,13.65,Diesel,Automatic,2800,236.7,0.0,7.3,190391,6,3824248,847119
Mahindra,Scorpio,2019,11.46,Petrol,Automatic,1800,153.3,0.0,5.0,145478,4,1029544,830973
MG,Gloster,2017,24.44,CNG,Manual,3000,255.4,0.0,7.4,180726,5,3389495,2465223
Toyota,Yaris,2017,17.66,Petrol,Manual,3100,260.1,0.0,6.9,164003,6,3246299,2042003
BMW,5 Series,2015,23.84,Petrol,Automatic,1600,153.0,0.0,6.9,147134,6,471345,214419
Mahindra,XUV700,2009,18.0,CNG,Manual,2800,210.3,0.0,7.6,186774,5,3233029,1408192
Renault,Kwid,2022,14.7,Diesel,Manual,4000,288.1,0.0,9.0,118581,6,1366008,1076749
Honda,City,2009,26.45,Diesel,Automatic,3600,285.2,0.0,6.7,71829,4,1099593,353926
Skoda,Rapid,2005,21.3,CNG,Automatic,1300,132.0,0.0,6.7,57835,5,2370268,474053
Mercedes,GLA,2000,10.27,Electric,Manual,800,99.4,59.0,8.5,63092,4,2790627,558125
Skoda,Slavia,2022,26.84,Petrol,Manual,2400,217.8,0.0,8.7,122902,7,836861,753498
Mercedes,GLA,2005,25.77,Petrol,Automatic,2300,207.8,0.0,8.9,91121,7,1501141,300228
Ford,Figo,2015,13.95,Petrol,Automatic,1900,172.9,0.0,6.8,115256,5,2689533,1173097
Renault,Triber,2009,26.32,Petrol,Automatic,1400,114.4,0.0,6.3,5093,5,3083360,616672
Mahindra,Scorpio,2007,24.7,CNG,Automatic,1000,113.3,0.0,8.1,98546,4,3738717,1024221
Toyota,Fortuner,2003,22.29,Petrol,Manual,3600,277.3,0.0,5.4,55804,7,2594454,518890
Renault,Kwid,2013,10.61,Petrol,Manual,2000,169.6,0.0,8.3,15304,5,1211029,606035
Mercedes,A-Class,2004,13.69,Electric,Automatic,2700,234.2,62.7,8.6,67815,4,3791355,758271
BMW,5 Series,2016,21.66,Hybrid,Manual,3500,258.1,29.1,9.3,72619,5,3279296,1257925
Toyota,Fortuner,2013,11.84,Hybrid,Manual,3000,232.4,54.9,7.5,46205,7,1324275,689143
Renault,Kwid,2014,21.55,Hybrid,Manual,2300,185.6,21.6,8.6,59481,5,2139849,1162748
Mercedes,GLA,2025,17.48,Diesel,Automatic,2800,207.5,0.0,7.4,137193,4,3638171,3638171
Kia,Seltos,2011,17.0,Hybrid,Automatic,1100,118.4,78.6,8.1,122169,6,2499076,1285019
Toyota,Glanza,2025,25.43,Hybrid,Manual,1400,129.7,44.1,6.2,136766,5,3236866,3236866
Hyundai,i20,2008,23.64,CNG,Manual,3000,240.9,0.0,8.6,193959,7,2214975,804974
Hyundai,Venue,2006,16.74,Electric,Manual,2700,220.5,33.8,7.6,128576,4,2609813,521962
Maruti,Baleno,2003,10.16,Diesel,Automatic,800,80.7,0.0,7.1,41538,6,2920741,584148
Hyundai,i20,2020,19.28,Diesel,Automatic,2000,186.8,0.0,6.8,94075,4,3141976,2380919
Nissan,Sunny,2014,28.37,Electric,Manual,2400,187.8,51.4,6.3,129595,7,3445462,2234811
MG,Astor,2025,12.31,Diesel,Manual,3700,296.7,0.0,6.1,152227,6,846739,846739
Honda,WRV,2011,12.7,Diesel,Manual,2800,222.7,0.0,6.5,112082,5,3952025,855524
Hyundai,Creta,2009,10.06,CNG,Manual,3700,297.7,0.0,8.4,146110,5,1620404,324080
Mahindra,XUV300,2023,22.18,Electric,Automatic,2600,231.9,76.7,6.4,112357,7,3576646,3016878
Nissan,Magnite,2013,18.23,Hybrid,Automatic,2400,215.4,28.3,5.4,27401,6,1616624,902899
MG,Hector,2020,13.46,Hybrid,Automatic,2200,178.6,54.4,7.6,161247,6,2374811,1951193
Mahindra,Thar,2010,20.73,Electric,Automatic,2500,198.1,39.1,6.0,10641,5,3935238,787047
BMW,3 Series,2004,27.22,Hybrid,Manual,800,88.4,64.0,5.5,95184,4,2892516,578503
Nissan,Kicks,2014,24.36,Hybrid,Automatic,3600,280.4,52.8,6.3,97221,5,1729962,350027
Renault,Triber,2002,28.86,Hybrid,Manual,1900,177.1,52.1,5.5,12013,7,2078961,415792
Tata,Harrier,2011,25.32,Petrol,Automatic,3400,277.7,0.0,9.3,40272,7,2857634,1550049
Toyota,Fortuner,2003,17.06,Hybrid,Manual,1400,135.1,72.9,6.7,105212,6,2580160,516032
Honda,City,2008,16.46,Petrol,Automatic,3300,271.2,0.0,6.9,58264,6,1574735,314947
Maruti,Baleno,2019,28.0,Diesel,Manual,2300,207.5,0.0,9.7,131241,4,1512960,936325
Mercedes,A-Class,2021,12.13,Electric,Automatic,1500,159.3,26.6,9.2,164829,6,620096,490771
Mercedes,C-Class,2012,24.06,Diesel,Automatic,3000,246.8,0.0,8.5,123208,7,1931371,386274
Mahindra,XUV300,2022,26.12,Petrol,Automatic,3000,229.1,0.0,8.3,166708,7,2335313,1964970
Maruti,WagonR,2012,11.21,Hybrid,Automatic,1700,135.4,76.9,6.6,122430,7,2817680,563536
BMW,X1,2001,21.03,Diesel,Automatic,900,93.6,0.0,8.9,184851,7,3819289,763857
BMW,X3,2003,11.78,CNG,Manual,4000,321.8,0.0,9.1,164651,6,2490839,498167
MG,Gloster,2018,11.89,Petrol,Manual,1700,167.8,0.0,8.9,184379,7,3062431,1421853
Tata,Altroz,2003,26.49,CNG,Manual,2100,176.7,0.0,9.3,18265,6,2815534,563106
Ford,Aspire,2021,22.0,Hybrid,Manual,3200,233.4,31.4,8.3,141438,6,2545010,2030593
Ford,Ecosport,2023,21.64,Petrol,Automatic,1000,104.0,0.0,7.7,45431,7,2445059,2063127
Nissan,Sunny,2025,13.18,Petrol,Automatic,1900,146.7,0.0,7.4,90308,4,3123724,3123724
Mercedes,E-Class,2019,28.09,Hybrid,Manual,2300,193.0,73.7,8.2,107456,7,1561891,1137012
Skoda,Kushaq,2006,22.99,CNG,Manual,2300,210.3,0.0,5.1,28026,7,1031046,206209
Mahindra,XUV300,2013,24.59,CNG,Manual,3800,286.5,0.0,9.2,106286,5,867119,358210
Tata,Tiago,2006,10.51,Electric,Manual,2200,205.8,28.7,9.3,162248,4,3450628,690125
Honda,Amaze,2003,27.15,Petrol,Automatic,1900,170.4,0.0,9.7,138979,7,1349439,313883
Ford,Figo,2005,28.14,Petrol,Manual,1800,145.5,0.0,9.9,176374,5,1158437,231687
BMW,X3,2023,17.09,Diesel,Manual,3400,249.3,0.0,7.9,139195,6,3358149,2853128
Mahindra,Thar,2021,29.11,CNG,Manual,2500,220.2,0.0,7.2,85269,5,3203849,2279694
Mahindra,Scorpio,2013,18.87,CNG,Automatic,3500,272.5,0.0,6.9,145506,4,930932,389060
Toyota,Glanza,2022,29.24,Diesel,Automatic,1000,100.7,0.0,9.1,97017,4,3607908,3251478
Ford,Figo,2022,19.84,Diesel,Manual,1100,124.7,0.0,7.0,158549,7,2191074,1813377
Skoda,Rapid,2008,20.2,Diesel,Manual,2800,219.8,0.0,5.4,174066,6,978473,195694
Toyota,Glanza,2009,25.37,CNG,Manual,1700,149.8,0.0,8.3,143366,6,2654326,530865
MG,Hector,2020,24.4,Diesel,Automatic,2500,194.1,0.0,8.1,164450,4,738407,540788
Ford,Aspire,2003,17.15,CNG,Automatic,1700,153.0,0.0,6.2,145791,6,1551049,310209
BMW,X3,2012,17.75,Diesel,Manual,2900,228.1,0.0,5.1,104283,5,997758,243533
MG,Astor,2015,10.74,Hybrid,Automatic,1100,127.5,30.6,7.2,41329,7,1323097,348200
Tata,Harrier,2008,26.58,CNG,Automatic,3700,296.8,0.0,8.1,113889,7,1016164,203232
Maruti,Baleno,2003,25.46,Petrol,Manual,2300,181.1,0.0,5.8,195614,5,2109935,421987
Nissan,Magnite,2010,18.1,Diesel,Manual,2500,203.5,0.0,8.7,140663,7,2555069,511013
Skoda,Kushaq,2005,15.98,Petrol,Automatic,3200,269.0,0.0,6.6,199236,6,2999509,599901
Mercedes,A-Class,2003,16.12,Hybrid,Manual,1100,118.7,31.5,6.4,46677,6,1094785,218957
MG,Astor,2010,29.26,Petrol,Manual,1700,142.0,0.0,7.4,81970,7,2548333,509666
Mahindra,XUV300,2020,29.89,CNG,Automatic,2700,227.1,0.0,8.4,199059,7,2349301,1938342
Nissan,Magnite,2013,17.25,Petrol,Manual,3200,249.9,0.0,8.0,25806,7,1726834,345366
Mahindra,Scorpio,2011,22.89,Diesel,Automatic,1200,118.1,0.0,7.9,123751,6,3078914,1720937
Skoda,Kushaq,2016,27.78,Hybrid,Automatic,1200,110.0,47.6,8.7,29448,4,3030134,1363143
Maruti,WagonR,2019,18.72,Hybrid,Manual,3000,224.2,39.6,8.2,111384,6,2027769,1213592
BMW,3 Series,2000,10.44,Hybrid,Automatic,900,105.2,50.7,9.0,186442,5,938286,187657
Hyundai,Venue,2016,11.16,Diesel,Automatic,2400,218.4,0.0,8.5,109084,7,640134,364558
Nissan,Magnite,2002,12.7,CNG,Manual,1100,127.1,0.0,6.1,197745,7,2975427,595085
Tata,Safari,2010,26.99,CNG,Automatic,1900,184.2,0.0,7.3,117602,7,1843494,368698
BMW,3 Series,2009,12.94,CNG,Automatic,1700,162.6,0.0,6.5,92497,6,3020448,604089
BMW,3 Series,2011,25.17,Diesel,Manual,3400,263.6,0.0,7.2,59295,7,2797190,559438
Nissan,Magnite,2004,22.65,Petrol,Manual,2000,161.2,0.0,7.4,107935,4,1997723,399544
Renault,Triber,2000,20.7,Petrol,Manual,3100,245.3,0.0,9.5,186151,5,1359854,271970
Ford,Ecosport,2003,18.0,Electric,Automatic,1900,153.4,59.4,6.9,174725,5,2234308,446861
Maruti,Swift,2007,19.78,Hybrid,Manual,3600,290.4,63.9,8.0,110109,6,2412732,482546
Toyota,Fortuner,2000,20.99,Petrol,Automatic,1600,148.2,0.0,7.4,172988,5,1169130,233826
Renault,Kwid,2011,29.61,Electric,Manual,3800,274.6,21.6,7.9,23996,4,727438,145487
Kia,Carens,2021,10.59,Electric,Automatic,2800,210.4,72.6,7.3,193072,4,2591934,2168851
Renault,Triber,2006,23.39,CNG,Automatic,4000,310.4,0.0,5.5,47214,4,2360206,472041
Maruti,Swift,2015,14.42,Petrol,Manual,1400,118.2,0.0,9.0,167294,5,3514734,2199055
Ford,Figo,2002,19.27,CNG,Manual,1900,159.4,0.0,9.9,167947,7,2073528,414705
Honda,City,2021,18.86,Electric,Manual,1900,152.1,24.7,8.0,196945,7,2208738,1647017
Kia,Sonet,2010,21.43,CNG,Automatic,3100,260.2,0.0,8.7,146095,6,1969266,393853
Ford,Figo,2023,17.43,Electric,Automatic,2100,181.0,48.7,8.3,25735,6,596204,557421
Renault,Triber,2023,23.98,Diesel,Automatic,800,82.6,0.0,8.5,190674,7,1037086,958385
Ford,Figo,2005,10.7,Diesel,Manual,2300,206.4,0.0,5.8,32517,7,628163,125632
Renault,Duster,2011,21.67,Petrol,Manual,3700,293.8,0.0,7.6,73092,6,1003967,200793
MG,Hector,2021,26.13,Hybrid,Automatic,2100,167.8,58.4,5.5,16593,5,696763,479132
Mahindra,Scorpio,2003,11.41,Diesel,Automatic,2500,219.2,0.0,9.4,69341,4,2199148,439829
Mahindra,Scorpio,2006,24.08,Electric,Manual,3000,255.1,62.9,9.4,139038,6,3275491,655098
Mahindra,Scorpio,2014,28.53,CNG,Manual,900,114.6,0.0,8.7,34948,5,3949953,945249
Maruti,Dzire,2007,15.11,Diesel,Automatic,2500,191.3,0.0,5.5,25638,5,2719358,913551
MG,Astor,2024,20.05,CNG,Manual,2400,210.4,0.0,5.7,14810,6,3875506,3704043
Mercedes,A-Class,2009,28.64,CNG,Manual,3200,261.1,0.0,7.3,117566,4,1183147,236629
Maruti,Dzire,2008,25.22,Diesel,Automatic,3400,279.0,0.0,5.0,167650,5,3022711,604542
Tata,Tiago,2025,25.21,Electric,Automatic,2700,201.1,64.9,6.8,69539,4,2003205,2003205
Kia,Sonet,2010,15.05,Diesel,Automatic,1400,145.6,0.0,9.0,138898,4,3586609,852957
MG,Astor,2002,18.13,Hybrid,Automatic,4000,290.1,54.6,5.5,47229,7,1990889,398177
Mahindra,XUV300,2018,27.52,Hybrid,Manual,3500,264.6,80.0,6.0,143591,4,1430574,1081115
Ford,Figo,2013,21.35,Hybrid,Manual,2500,214.9,76.6,7.0,95885,4,2403515,480703
Hyundai,i20,2012,11.12,CNG,Automatic,2600,195.8,0.0,9.8,183432,5,1815385,363077
Ford,Ecosport,2025,26.05,Electric,Automatic,1700,167.5,70.6,5.2,16615,6,1008643,1008643
Renault,Duster,2020,15.87,Electric,Manual,3600,273.7,51.1,5.7,115086,4,653611,489293
BMW,3 Series,2024,22.25,Hybrid,Manual,2500,207.3,51.2,8.9,28497,7,2328222,2251043
Toyota,Fortuner,2021,14.09,Hybrid,Automatic,2400,217.5,29.6,5.1,118559,6,2514652,2021293
Renault,Kwid,2002,22.42,Petrol,Manual,2200,179.1,0.0,6.4,76961,4,1715755,343151
Kia,Carens,2013,23.21,Diesel,Automatic,1300,142.7,0.0,5.4,58375,6,797218,159443
Renault,Kwid,2013,15.48,Hybrid,Automatic,3000,247.0,78.1,8.9,196122,4,3918786,1746139
Mercedes,C-Class,2008,11.11,Diesel,Automatic,1200,112.2,0.0,5.5,52744,7,3235870,647174
Hyundai,Creta,2001,28.31,CNG,Manual,3800,308.7,0.0,6.0,56740,7,802955,160591
Ford,Aspire,2015,13.79,CNG,Automatic,3400,263.8,0.0,6.1,186846,4,1393532,766164
Renault,Duster,2000,15.19,Diesel,Automatic,2200,167.8,0.0,8.3,130559,6,2142840,428568
Mercedes,E-Class,2023,22.71,CNG,Manual,2400,206.0,0.0,6.1,15807,6,3257680,2864727
Kia,Sonet,2012,16.35,Hybrid,Manual,2000,178.0,75.9,7.5,60468,6,2028037,1160011
Skoda,Rapid,2003,27.05,Diesel,Automatic,3200,266.5,0.0,6.6,192564,5,1612266,378411
Hyundai,Creta,2001,17.3,Electric,Manual,1500,127.2,21.5,9.8,93154,5,3932912,786582
Hyundai,Creta,2006,26.02,Diesel,Manual,2200,205.5,0.0,7.6,153623,4,2392795,478559
Hyundai,Verna,2009,29.28,Diesel,Manual,2600,229.6,0.0,8.8,142817,4,3328465,665693
Honda,Jazz,2019,13.82,Petrol,Automatic,3500,259.9,0.0,7.0,60939,6,1465599,1092177
Mahindra,Scorpio,2018,10.8,Diesel,Automatic,2300,201.2,0.0,8.3,188633,4,475128,371443
BMW,X3,2002,20.45,Electric,Manual,3200,268.0,39.8,7.7,57109,5,705463,141092
Tata,Harrier,2015,21.58,Diesel,Automatic,3800,278.3,0.0,6.4,83530,4,1434217,988003
